Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1685192400000,1828.19000000,1832.00000000,1812.18000000,1819.79000000,11071.32820000,1685195999999,20186198.10682500,20698,5160.64580000,9409629.30770500,0
1685196000000,1819.80000000,1826.15000000,1818.28000000,1822.96000000,8370.11270000,1685199599999,15254377.27779500,17098,4606.46830000,8395324.17535400,0
1685199600000,1822.96000000,1824.31000000,1821.37000000,1823.60000000,4351.93640000,1685203199999,7933509.00068300,12280,2526.32420000,4605311.79288400,0
1685203200000,1823.60000000,1823.71000000,1817.25000000,1821.69000000,5184.45140000,1685206799999,9438696.21200100,12561,2629.98710000,4787718.06317200,0
1685206800000,1821.70000000,1825.42000000,1820.80000000,1824.18000000,3797.42630000,1685210399999,6923219.11806900,10248,2079.50700000,3791454.49711200,0
1685210400000,1824.19000000,1829.20000000,1820.35000000,1821.57000000,7390.39530000,1685213999999,13490693.41589500,13239,4173.19510000,7619119.01342200,0
1685214000000,1821.58000000,1826.91000000,1821.57000000,1826.03000000,4039.42780000,1685217599999,7368710.57253000,9691,2355.43280000,4296464.06878700,0
1685217600000,1826.04000000,1827.52000000,1825.44000000,1827.52000000,2666.55260000,1685221199999,4869954.22774500,10385,1466.35270000,2678035.72139800,0
1685221200000,1827.52000000,1828.36000000,1824.41000000,1827.92000000,4020.48040000,1685224799999,7343221.58231700,8691,2212.99050000,4041605.48015000,0
1685224800000,1827.92000000,1832.06000000,1827.33000000,1830.07000000,5357.60230000,1685228399999,9800863.65469200,10436,2925.19950000,5351018.39783400,0
1685228400000,1830.07000000,1832.00000000,1828.48000000,1829.89000000,3360.94290000,1685231999999,6150896.17855400,8254,1746.03420000,3195433.50388100,0
1685232000000,1829.89000000,1854.90000000,1823.60000000,1849.07000000,28565.10950000,1685235599999,52591201.12237900,35366,16135.42310000,29719558.04624500,0
1685235600000,1849.08000000,1859.50000000,1847.00000000,1848.78000000,26580.53890000,1685239199999,49273350.37568200,32569,14605.78230000,27075063.68074100,0
1685239200000,1848.79000000,1851.14000000,1845.76000000,1846.59000000,8251.21980000,1685242799999,15249967.57147400,13286,4102.34350000,7581649.72505800,0
1685242800000,1846.60000000,1855.27000000,1845.74000000,1850.71000000,11338.25460000,1685246399999,20984529.15127100,16735,6817.61230000,12619351.22854900,0
1685246400000,1850.71000000,1859.00000000,1848.81000000,1849.14000000,32452.61790000,1685249999999,60146027.44244500,26407,19083.73880000,35366546.53593900,0
1685250000000,1849.14000000,1850.80000000,1846.30000000,1847.49000000,8984.57870000,1685253599999,16607063.10586800,14196,4464.97500000,8253572.73141700,0
1685253600000,1847.49000000,1850.00000000,1845.51000000,1845.88000000,10302.91560000,1685257199999,19043448.72527400,19348,6060.30150000,11202388.26448000,0
1685257200000,1845.88000000,1848.50000000,1845.29000000,1847.79000000,5421.27060000,1685260799999,10012254.07061900,13049,2680.34560000,4949881.32191800,0
1685260800000,1847.80000000,1848.41000000,1843.48000000,1845.42000000,7413.92940000,1685264399999,13683261.65039600,13651,3312.21870000,6112822.32960000,0
1685264400000,1845.43000000,1846.60000000,1843.76000000,1844.87000000,3121.14630000,1685267999999,5758881.83405100,9742,1453.82470000,2682309.49151000,0
1685268000000,1844.88000000,1846.72000000,1843.21000000,1845.80000000,5307.25850000,1685271599999,9791763.46965300,13457,2381.53780000,4393857.11924200,0
1685271600000,1845.80000000,1851.79000000,1843.21000000,1843.50000000,10735.69680000,1685275199999,19822083.39370300,16699,5810.68010000,10727505.98190900,0
1685275200000,1843.51000000,1844.42000000,1837.17000000,1840.60000000,8891.49340000,1685278799999,16369685.70006500,17353,3897.89200000,7176092.66885900,0
1685278800000,1840.60000000,1845.21000000,1840.59000000,1843.72000000,5488.67290000,1685282399999,10113684.58357400,14677,2435.57870000,4487706.18271000,0
1685282400000,1843.72000000,1843.72000000,1839.16000000,1839.50000000,6353.39740000,1685285999999,11700350.42439300,12812,2366.00070000,4357463.56951100,0
1685286000000,1839.49000000,1843.74000000,1836.69000000,1843.74000000,6527.76780000,1685289599999,12019998.33327400,15012,2651.08980000,4881173.98925300,0
1685289600000,1843.74000000,1845.96000000,1839.21000000,1843.98000000,6182.74800000,1685293199999,11394328.28273900,14328,2272.58640000,4187989.61849300,0
1685293200000,1843.98000000,1852.77000000,1841.53000000,1847.51000000,11737.08940000,1685296799999,21668245.79036200,17635,4510.79010000,8330123.97694000,0
1685296800000,1847.51000000,1858.93000000,1843.88000000,1851.63000000,26887.27130000,1685300399999,49793201.28946000,40668,13040.83960000,24154233.92877600,0
1685300400000,1851.63000000,1854.57000000,1845.60000000,1848.77000000,12209.51210000,1685303999999,22601618.45223500,20630,6367.10550000,11785717.89982400,0
1685304000000,1848.77000000,1854.89000000,1848.76000000,1853.46000000,7843.10180000,1685307599999,14525325.73970600,16973,4309.18930000,7980221.27840300,0
1685307600000,1853.47000000,1868.00000000,1853.46000000,1867.99000000,18547.19660000,1685311199999,34513123.19782400,24564,11688.40150000,21743632.70312100,0
1685311200000,1867.99000000,1918.65000000,1867.99000000,1906.72000000,77399.22360000,1685314799999,147166225.93800200,98591,40674.40990000,77237354.00460300,0
1685314800000,1906.73000000,1917.97000000,1906.72000000,1908.64000000,31850.42620000,1685318399999,60870266.58503900,31979,13683.19380000,26145945.25964700,0
1685318400000,1908.64000000,1927.62000000,1908.17000000,1914.43000000,43302.02170000,1685321999999,83023986.20832200,53291,22309.37660000,42768675.52911400,0
1685322000000,1914.43000000,1918.29000000,1912.11000000,1917.33000000,17838.75060000,1685325599999,34163626.08475200,21574,9923.49900000,19004001.86156100,0
1685325600000,1917.34000000,1919.19000000,1909.31000000,1909.99000000,14271.61570000,1685329199999,27293536.96468800,18043,7046.30940000,13473009.13771200,0
1685329200000,1909.99000000,1910.00000000,1901.21000000,1903.77000000,24422.36450000,1685332799999,46574857.63497600,22866,14612.72300000,27870817.39858400,0
